#GeneID	Ensembl_gene_identifier	RefSeqGene	RNA_nucleotide_accessions
1	ENSG00000121410	-	NM_130786
2	ENSG00000175899	NG_011717	NM_000014,NM_001347423,NM_001347424,NM_001347425,XM_006719056
3	ENSG00000256069	-	NR_040112
9	ENSG00000171428	NG_012245	NM_000662,NM_001160170,NM_001160171,NM_001160172,NM_001160173,NM_001160174,NM_001160175,NM_001160176,NM_001160179,NM_001291962,XM_006716410,XM_011544687,XM_011544688,XM_011544689,XM_017013947
10	ENSG00000156006	NG_012246	NM_000015,XM_017012938
12	ENSG00000196136	NG_012879	NM_001085,NM_001384672,NM_001384673,NM_001384674
13	ENSG00000114771	-	NM_001086,XM_005247104
14	ENSG00000127837	NG_033036	NM_001087,NM_001302545,XM_024452712
15	ENSG00000129673	NG_015976	NM_001088,NM_001166579,NR_110548,XM_017024259
16	ENSG00000090861	NG_023191	NM_001605,XR_933220
18	ENSG00000183044	NG_008432	NM_000663,NM_001127448,NM_001386600,NM_001386601,NM_001386602,NM_001386603,NM_001386604,NM_001386605,NM_001386606,NM_001386607,NM_001386608,NM_001386609,NM_001386610,NM_001386611,NM_001386612,NM_001386613,NM_001386614,NM_001386615,NM_001386616,NM_020686,XM_011522400,XM_011522401
19	ENSG00000165029	NG_007981	NM_005502,XM_005251773,XM_005251776,XM_011518339,XM_011518340,XM_011518341,XM_011518342,XM_011518344,XM_017014378,XM_017014379,XM_017014380,XM_017014381,XM_017014382,XR_001746223
20	ENSG00000107331	NG_011789	NM_001606,NM_212533,XM_006716996,XR_001746224
21	ENSG00000167972	NG_011790	NM_001089
22	ENSG00000131269	NG_007980	NM_001271696,NM_001271697,NM_001271698,NM_001271699,NM_004299
23	ENSG00000204574	NG_047030	NM_001025091,NM_001090
24	ENSG00000198691	NG_009073	NM_000350
25	ENSG00000097007	NG_012034	NM_005157,NM_007313
26	ENSG00000002726	-	NM_001091,NM_001272072,XM_017011944,XM_017011945,XM_017011946,XM_017011947
27	ENSG00000143322	NG_028242	NM_001136000,NM_001136001,NM_001168236,NM_001168237,NM_001168238,NM_001168239,NM_005158,NM_007314,XM_005245088,XM_017001035,XR_921764,XR_921765
28	ENSG00000175164	NG_006669	NM_020469
29	ENSG00000159842	NG_011987	NM_001092,NM_001159746,NM_001256847,NM_001282149,NM_001322840,NM_001322841,NM_001322842,NM_021962,XM_011523810,XM_011523811,XM_011523812,XM_011523813,XM_011523814,XM_011523815,XM_017024539,XM_017024540,XM_017024541,XM_017024542,XM_017024543,XR_001752501,XR_934019
30	ENSG00000060971	NG_023225	NM_001130410,NM_001607,NR_024024,XM_006713122,XM_006713123,XM_011533650
31	ENSG00000278540	NG_023295	NM_198834,NM_198836,NM_198837,NM_198838,NM_198839,XM_005257267,XM_006721853,XM_011524701,XM_011524703,XM_011524704,XM_017024553,XM_017024554,XM_017024555,XR_001752504
32	ENSG00000076555	NG_046907	NM_001093,XM_006719367,XM_011538259,XM_011538263,XM_011538264,XM_011538265,XM_017019252,XR_002957320,XR_002957321,XR_002957322,XR_944530,XR_944532
33	ENSG00000115361	NG_008002	NM_001608,XM_005246517,XM_017003955
34	ENSG00000117054	NG_007045	NM_000016,NM_001127328,NM_001286042,NM_001286043,NM_001286044
35	ENSG00000122971	NG_007991	NM_000017,NM_001302554
36	ENSG00000196177	NG_008003	NM_001330174,NM_001609
37	ENSG00000072778	NG_007975	NM_000018,NM_001033859,NM_001270447,NM_001270448,XM_006721516,XM_011523829,XM_011523830,XM_024450741,XR_934021,XR_934022,XR_934023
38	ENSG00000075239	NG_009888	NM_000019,NM_001386677,NM_001386678,NM_001386679,NM_001386681,NM_001386682,NM_001386685,NM_001386686,NM_001386687,NM_001386688,NM_001386689,NM_001386690,NM_001386691,NR_170162,NR_170163,XM_006718835,XM_017017681,XM_017017682,XM_017017683,XM_024448511,XM_024448512,XM_024448513,XM_024448514,XM_024448515
39	ENSG00000120437	NG_023389	NM_001303253,NM_005891
40	ENSG00000108684	NG_029763	NM_001094,NM_183377
41	ENSG00000110881	-	NM_001095,NM_001256830,NM_020039,NR_046389,XM_011538350,XM_011538351,XM_011538352
43	ENSG00000087085	NG_007474	NM_000665,NM_001282449,NM_001302621,NM_001302622,NM_001367915,NM_001367917,NM_001367918,NM_001367919,NR_160407,NR_160408
47	ENSG00000131473	NG_047031	NM_001096,NM_001303274,NM_001303275,NM_198830,XM_005257395,XM_017024688
48	ENSG00000122729	-	NM_001278352,NM_001362840,NM_002197,XM_011517888
49	ENSG00000100312	-	NM_001097
50	ENSG00000100412	NG_032143	NM_001098,XM_017028812,XM_024452250
51	ENSG00000161533	NG_008190	NM_001185039,NM_004035,NM_007292,XM_011524868,XM_011524869
52	ENSG00000143727	NG_012035	NM_001040649,NM_004300,NM_007099,NR_024080
53	ENSG00000134575	NG_023296	NM_001302489,NM_001302490,NM_001302491,NM_001302492,NM_001357016,NM_001610,XR_001747908
54	ENSG00000102575	NG_028127	NM_001111034,NM_001111035,NM_001111036,NM_001322023,NM_001611,XM_005259938,XM_011528069
55	ENSG00000014257	NG_047032	NM_001099,NM_001134194,NM_001292037,XM_011512946,XM_011512947
56	ENSG00000134940	NG_047033	NM_001612,NM_020069,NM_020107,NM_020108
58	ENSG00000143632	NG_006672	NM_001100
59	ENSG00000107796	NG_011541	NM_001141945,NM_001320855,NM_001613
60	ENSG00000075624	NG_007992	NM_001101
70	ENSG00000159251	NG_007553	NM_005159
71	ENSG00000184009	NG_011433	NM_001199954,NM_001614,NR_037688
72	ENSG00000163017	NG_034140	NM_001199893,NM_001615
81	ENSG00000130402	NG_007082	NM_001322033,NM_004924,XM_005259281,XM_006723406,XM_017027331
83	ENSG00000231340	-	-
86	ENSG00000136518	-	NM_004301,NM_177989,NM_178042
87	ENSG00000072110	NG_029480	NM_001102,NM_001130004,NM_001130005,XM_011537265,XM_011537266,XM_011537267,XM_011537268,XM_017021720,XM_017021721,XM_017021722,XM_017021723,XM_017021725,XM_017021726,XM_017021727,XM_017021728
88	ENSG00000077522	NG_009081	NM_001103,NM_001278343,NM_001278344
89	ENSG00000248746	NG_013304	NM_001104,NM_001258371,NR_047663
90	ENSG00000115170	NG_008004	NM_001105,NM_001111067,NM_001347663,NM_001347664,NM_001347665,NM_001347666,NM_001347667,XM_006712825,XM_011512108
91	ENSG00000135503	NG_022926	NM_004302,NM_020327,NM_020328,XM_011538966,XM_011538967,XM_017020201
92	ENSG00000121989	-	NM_001278579,NM_001278580,NM_001616
93	ENSG00000114739	NG_011791	NM_001106,XM_005265583,XM_017007514,XM_017007515,XM_017007516
94	ENSG00000139567	NG_009549	NM_000020,NM_001077401,XM_005269235,XM_011539008,XM_024449279
95	ENSG00000243989	NG_012036	NM_000666,NM_001198895,NM_001198896,NM_001198897,NM_001198898
97	ENSG00000119640	-	NM_001107,NM_001302616,NM_001302617,NR_126393,NR_126394,NR_126395
98	ENSG00000170634	-	NM_001320586,NM_001320587,NM_001320588,NM_001320589,NM_001320590,NM_138448,XM_017005406,XM_017005407,XM_017005408,XM_017005409,XM_017005410,XM_017005411,XM_017005412,XM_017005413,XR_001739083
100	ENSG00000196839	NG_007385	NM_000022,NM_001322050,NM_001322051,NR_136160
101	ENSG00000151651	-	NM_001109,NM_001164489,NM_001164490,XM_011539117,XM_017015465,XM_017015466
102	ENSG00000137845	NG_033876	NM_001110,NM_001320570,XM_024449818
103	ENSG00000160710	NG_011844	NM_001025107,NM_001111,NM_001193495,NM_001365045,NM_001365046,NM_001365047,NM_001365048,NM_001365049,NM_015840,NM_015841,XM_006711113,XM_011509061,XM_011509062
104	ENSG00000197381	NG_052015	NM_001112,NM_001160230,NM_001346687,NM_001346688,NM_015833,NM_015834,NR_027672,NR_027673,NR_027674,NR_073200,NR_144483,XM_006723954,XM_011529425,XM_011529432,XM_017028242,XM_017028243,XM_017028244,XM_017028245,XM_017028246,XM_017028247,XM_017028248,XM_017028249,XM_017028250,XM_017028251,XM_017028253,XM_017028254,XM_017028255,XM_024452043,XR_001754786,XR_001754787,XR_001754791,XR_001754792,XR_001754793
105	ENSG00000185736	-	NM_018702
107	ENSG00000164742	NG_034198	NM_001281768,NM_021116,XM_005249584,XM_005249585
108	ENSG00000078295	NG_046913	NM_020546,XM_011513942,XR_001741973,XR_001741974,XR_427657
109	ENSG00000138031	-	NM_001320613,NM_001377128,NM_001377129,NM_001377130,NM_001377131,NM_001377132,NM_004036,XM_006711925,XM_011532489,XM_011532490,XM_011532491,XM_011532492,XM_011532493,XM_011532494,XM_011532496,XM_017003187,XM_017003188,XM_017003189,XM_017003191,XM_017003192
111	ENSG00000173175	NG_033882	NM_001199642,NM_001378259,NM_183357,XM_005247078,XM_006713483,XM_006713484,XM_011512359,XM_011512360,XM_011512361,XM_017005638,XM_017005639
112	ENSG00000174233	NG_042166	NM_015270,XM_006719210,XM_017018743,XR_001748565
113	ENSG00000121281	-	NM_001114,NM_001286057,XM_011522835,XM_011522836,XM_011522837,XM_011522838,XM_011522839,XM_011522840,XM_011522842,XM_017022896,XM_017022897,XM_017022898,XM_017022899,XR_001751822
114	ENSG00000155897	-	NM_001115,XM_005250769,XM_006716501,XM_017013006,XM_017013007
115	ENSG00000162104	NG_011434	NM_001116,XM_005255079,XM_011522353
116	ENSG00000141433	-	NM_001099733,NM_001117,XM_005258081
117	ENSG00000078549	NG_029869	NM_001118,NM_001199635,NM_001199636,NM_001199637,XM_005249618,XM_006715645,XM_017011736,XM_017011737,XM_017011738
118	ENSG00000087274	NG_012037	NM_001119,NM_001286645,NM_001354754,NM_001354755,NM_001354756,NM_001354757,NM_001354758,NM_001354759,NM_001354761,NM_001354762,NM_014189,NM_014190,NM_176801,XM_005247934,XM_017007703,XM_017007704,XM_017007705,XM_017007706,XM_017007709,XM_024453887,XR_002959706,XR_002959707
